CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
06037139702,California,Los Angeles County,1,6250,2314,0,0,0.00,0,0,0,0,0,0,3.5,216713,1,1,1,1,1,0,0,0,3349,5585,3349,309,518,309,5585,89.36,518,8.29,1277,20.44,1319,21.10,4974,79.59,72,1.14,259,4.15,5,0.08,6,0.09,269,4.30,235,3.75,48,2.07,0,0.00,3349,53.59,309,4.94,754,12.06,778,12.45,2962,47.39,44,0.70,150,2.39,3,0.05,4,0.06,188,3.00,133,2.13,31,1.36,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,598,1433,1459,5572,84,282,5,6,301,272,48,0
06037139703,California,Los Angeles County,1,2943,990,0,9,0.31,0,0,0,0,0,0,9.3,138194,1,1,1,1,1,0,0,0,1096,2036,1096,185,343,185,2036,69.18,343,11.66,432,14.68,397,13.48,1760,59.81,31,1.06,107,3.65,2,0.07,1,0.02,134,4.56,84,2.86,28,2.88,4,0.43,1096,37.24,185,6.28,231,7.85,197,6.68,950,32.28,9,0.29,60,2.05,1,0.03,0,0.00,76,2.59,59,2.01,15,1.53,2,0.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,480,670,531,2566,49,148,3,1,176,129,40,6
06037139801,California,Los Angeles County,1,3539,1270,0,0,0.00,0,0,0,0,0,0,2.5,164875,1,1,1,1,1,0,0,0,1570,2970,1570,121,229,121,2970,83.92,229,6.46,657,18.56,728,20.56,2704,76.40,40,1.14,110,3.12,2,0.06,1,0.04,112,3.17,106,3.00,8,0.65,0,0.00,1570,44.35,121,3.41,335,9.47,381,10.77,1426,40.28,23,0.64,57,1.60,1,0.03,1,0.03,63,1.77,63,1.79,4,0.35,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,270,804,848,3192,47,149,2,2,147,126,10,0
06037139802,California,Los Angeles County,1,3865,1372,0,0,0.00,0,0,0,0,0,0,6.5,176944,1,1,1,1,1,0,0,0,3213,3865,3213,412,495,412,3865,100.00,495,12.82,851,22.02,834,21.58,3343,86.49,87,2.25,232,6.00,0,0.00,0,0.00,203,5.25,178,4.61,7,0.52,32,2.36,3213,83.14,412,10.66,708,18.31,692,17.89,2757,71.34,72,1.86,200,5.18,0,0.00,0,0.00,183,4.75,150,3.89,6,0.43,27,1.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,505,851,834,3343,87,232,0,0,203,178,7,32
06037141101,California,Los Angeles County,1,4066,2248,0,0,0.00,0,0,0,0,1,0,9.3,77525,0,1,0,1,0,0,0,1,NULL,3477,NULL,NULL,768,NULL,3477,85.51,768,18.88,503,12.36,346,8.52,2716,66.79,186,4.58,267,6.57,6,0.15,14,0.34,287,7.07,415,10.21,114,5.08,48,2.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1049,577,408,3179,220,306,7,17,337,490,137,58
06037141102,California,Los Angeles County,1,2869,1368,0,6,0.21,0,0,0,0,0,0,9.7,130000,0,1,0,1,0,0,0,0,NULL,1088,NULL,NULL,220,NULL,1088,37.92,220,7.66,190,6.61,117,4.08,887,30.92,51,1.79,63,2.21,0,0.00,2,0.08,84,2.93,128,4.45,25,1.82,6,0.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,582,502,320,2335,150,171,0,9,204,325,56,15
06037141201,California,Los Angeles County,1,3707,1892,0,6,0.16,0,0,0,0,0,0,9.0,84489,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1118,587,310,2812,263,241,3,4,384,593,138,77
06037141202,California,Los Angeles County,1,2800,1413,0,0,0.00,0,0,0,0,0,0,12.7,86979,0,0,0,0,0,0,0,0,NULL,7,NULL,NULL,1,NULL,7,0.26,1,0.04,2,0.08,1,0.04,6,0.23,0,0.01,0,0.01,0,0.00,0,0.00,0,0.02,0,0.01,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,589,466,346,2343,119,144,3,4,187,253,9,0
06037141302,California,Los Angeles County,1,5504,2897,0,4,0.07,0,0,0,0,0,0,5.5,110357,0,0,0,0,0,0,0,0,NULL,15,NULL,NULL,2,NULL,15,0.27,2,0.03,4,0.06,2,0.03,14,0.25,1,0.03,0,0.00,0,0.00,0,0.00,0,0.00,1,0.01,0,0.01,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,915,740,617,4225,324,460,6,13,476,646,148,0
06037141303,California,Los Angeles County,1,3089,1680,0,0,0.00,0,0,0,0,0,0,7.0,114375,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,597,354,407,2393,191,239,0,5,261,411,115,54
06037141304,California,Los Angeles County,1,2738,1422,0,0,0.00,0,0,0,0,0,0,10.0,157800,0,0,0,0,0,0,0,0,NULL,245,NULL,NULL,55,NULL,245,8.96,55,2.02,61,2.21,35,1.29,210,7.68,5,0.17,12,0.45,0,0.00,1,0.02,17,0.64,13,0.46,11,0.75,3,0.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,726,435,428,2234,117,173,9,6,199,236,124,40
06037141400,California,Los Angeles County,1,4412,1948,0,22,0.50,0,0,0,0,1,0,3.6,115800,0,1,0,1,0,0,0,1,NULL,2318,NULL,NULL,300,NULL,2318,52.54,300,6.80,486,11.01,417,9.44,1975,44.76,71,1.60,133,3.02,0,0.00,5,0.10,135,3.05,179,4.07,120,6.16,26,1.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,806,813,886,3698,158,253,4,8,291,411,312,57
06037141500,California,Los Angeles County,1,2984,1128,0,0,0.00,0,0,0,0,0,0,3.1,243558,1,1,1,1,1,0,0,0,1523,2847,1523,95,178,95,2847,95.41,178,5.96,614,20.58,677,22.70,2512,84.19,40,1.33,161,5.39,1,0.03,2,0.07,131,4.40,149,5.01,7,0.62,0,0.00,1523,51.02,95,3.19,331,11.08,365,12.22,1348,45.18,14,0.48,94,3.15,1,0.03,2,0.07,63,2.11,74,2.48,4,0.33,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,186,642,705,2640,42,164,1,2,135,160,7,0
06037141600,California,Los Angeles County,1,4029,1673,0,0,0.00,0,0,0,0,0,0,2.2,210083,1,1,1,1,1,0,0,0,710,3263,710,72,246,72,3263,81.00,246,6.09,650,16.14,628,15.58,2870,71.23,75,1.87,188,4.66,0,0.00,2,0.04,129,3.19,164,4.07,20,1.19,0,0.00,710,17.63,72,1.79,144,3.57,136,3.39,631,15.67,12,0.30,41,1.02,0,0.00,0,0.01,25,0.63,28,0.70,1,0.08,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,793,736,3541,94,236,0,3,155,219,28,0
06037141700,California,Los Angeles County,1,3091,1269,0,0,0.00,0,0,0,0,0,0,2.5,250001,0,1,0,1,0,0,0,0,22,2187,22,1,91,1,2187,70.76,91,2.95,443,14.34,387,12.51,1916,61.98,55,1.78,116,3.76,2,0.05,2,0.06,97,3.13,106,3.44,15,1.21,5,0.42,22,0.70,1,0.03,5,0.16,4,0.12,19,0.60,1,0.02,1,0.03,0,0.00,0,0.00,1,0.04,1,0.04,0,0.01,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110,639,519,2684,76,177,2,2,150,156,24,7
06037143100,California,Los Angeles County,1,3984,2093,0,0,0.00,0,0,0,0,0,0,5.1,128125,0,1,0,1,0,0,0,0,NULL,1713,NULL,NULL,204,NULL,1713,43.01,204,5.13,178,4.47,170,4.26,1340,33.62,94,2.36,131,3.28,3,0.08,5,0.13,141,3.53,232,5.82,43,2.04,33,1.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,772,511,532,3288,181,232,3,11,269,490,96,77
06037143200,California,Los Angeles County,1,3743,1986,0,5,0.13,0,0,0,0,0,0,10.8,105665,0,1,0,1,0,0,0,0,NULL,3261,NULL,NULL,741,NULL,3261,87.12,741,19.80,417,11.14,210,5.60,2255,60.24,302,8.07,285,7.62,1,0.03,15,0.41,403,10.76,648,17.30,87,4.37,94,4.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,923,492,259,2675,316,306,2,17,427,705,103,112
06037143300,California,Los Angeles County,1,5871,2953,0,4,0.07,0,0,0,0,0,0,5.7,120625,0,0,0,0,0,0,0,0,NULL,402,NULL,NULL,48,NULL,402,6.85,48,0.82,55,0.93,47,0.81,316,5.38,20,0.35,19,0.32,0,0.00,4,0.07,42,0.72,57,0.98,5,0.16,3,0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1393,966,666,4609,280,361,0,19,602,927,117,47
06037143400,California,Los Angeles County,1,5881,2935,0,0,0.00,0,0,0,0,0,0,4.2,127477,0,0,0,0,0,0,0,0,NULL,22,NULL,NULL,0,NULL,22,0.37,0,0.00,3,0.06,1,0.02,17,0.30,1,0.02,1,0.01,0,0.00,0,0.00,3,0.05,4,0.07,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,857,944,769,4894,229,310,1,15,432,596,207,19
06037143500,California,Los Angeles County,1,4708,2238,0,5,0.11,0,0,0,0,0,0,10.7,120572,0,0,0,0,0,0,0,0,NULL,36,NULL,NULL,5,NULL,36,0.76,5,0.10,4,0.09,5,0.10,28,0.59,2,0.03,4,0.09,0,0.00,0,0.00,2,0.04,2,0.04,0,0.00,1,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1038,832,558,3989,174,284,5,11,245,383,143,149
06037143602,California,Los Angeles County,1,4260,2045,0,272,6.38,0,0,0,0,0,0,8.0,116341,0,1,0,1,0,0,0,0,NULL,762,NULL,NULL,92,NULL,762,17.88,92,2.16,128,3.01,231,5.42,647,15.19,33,0.77,37,0.87,2,0.04,3,0.06,41,0.96,76,1.78,0,0.02,2,0.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,646,665,720,3514,180,302,3,22,239,348,116,15
06037143603,California,Los Angeles County,1,2222,1244,0,0,0.00,0,0,0,0,0,0,8.0,114167,0,1,0,1,0,0,0,0,NULL,991,NULL,NULL,213,NULL,991,44.59,213,9.58,109,4.91,73,3.31,779,35.06,46,2.05,74,3.35,0,0.00,4,0.18,88,3.95,134,6.02,7,0.58,6,0.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,509,240,163,1761,109,163,0,10,179,277,18,16
06037143604,California,Los Angeles County,1,3205,2006,0,0,0.00,0,0,0,0,0,0,13.2,102258,0,0,0,0,0,0,0,0,NULL,369,NULL,NULL,78,NULL,369,11.53,78,2.45,20,0.64,48,1.50,273,8.52,36,1.11,37,1.14,0,0.00,0,0.00,24,0.76,44,1.36,18,0.91,4,0.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,832,214,201,2206,308,377,8,13,293,413,139,36
06037143700,California,Los Angeles County,1,3748,1903,0,0,0.00,0,0,0,0,0,0,5.3,185139,1,1,1,1,1,0,0,0,1886,2922,1886,191,321,191,2922,77.96,321,8.56,349,9.31,386,10.31,2426,64.72,118,3.15,211,5.63,2,0.05,4,0.11,161,4.30,195,5.20,20,1.06,64,3.35,1886,50.33,191,5.10,219,5.85,213,5.68,1561,41.65,75,2.01,128,3.42,1,0.03,2,0.06,118,3.16,134,3.58,13,0.67,43,2.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,426,461,511,3116,159,266,2,5,200,265,26,82
06037143800,California,Los Angeles County,1,4878,2341,0,0,0.00,0,0,0,0,0,0,1.5,175333,0,1,0,1,0,0,0,0,364,2687,364,24,197,24,2687,55.08,197,4.03,479,9.82,519,10.64,2338,47.92,78,1.60,137,2.81,1,0.02,2,0.04,131,2.69,158,3.24,78,3.34,20,0.84,364,7.47,24,0.49,55,1.13,92,1.89,334,6.84,3,0.05,15,0.31,0,0.00,0,0.00,13,0.26,15,0.31,10,0.41,2,0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,539,789,727,4056,190,316,4,8,304,355,199,42
06037143901,California,Los Angeles County,1,4068,1647,0,7,0.17,0,0,0,0,0,0,3.8,229896,1,1,1,1,1,0,0,0,975,2435,975,83,208,83,2435,59.86,208,5.11,512,12.59,445,10.95,2105,51.75,41,1.00,145,3.55,2,0.05,1,0.03,141,3.48,127,3.13,40,2.44,0,0.00,975,23.97,83,2.05,206,5.07,206,5.06,847,20.81,8,0.19,58,1.43,2,0.05,0,0.00,61,1.49,45,1.10,16,0.96,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,382,878,650,3533,66,236,5,4,224,244,65,0
